InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
INV397005,SC98895,GLASS VASE,14,2023-02-26,1.5,CUST0071,Italy
INV652530,SC97442,ENAMEL PIN SET,19,2023-09-07,0.75,CUST0071,Italy
INV157443,SC11007,COTTON TOTE BAG,13,2023-11-03,1.0,CUST0072,Australia
INV403507,SC53007,COTTON TOTE BAG,5,2023-05-11,1.0,CUST0073,India
INV883301,SC66446,BLUE CERAMIC MUG,1,2023-09-12,1.25,CUST0073,India
INV658453,SC40161,VINTAGE LAMP,5,2023-07-14,3.75,CUST0073,India
INV945362,SC56421,SILK CUSHION,18,2023-12-09,2.25,CUST0073,India
INV557409,SC12456,BLUE CERAMIC MUG,13,2023-01-22,1.25,CUST0073,India
INV550137,SC85156,CERAMIC PLANT POT,11,2023-10-22,2.0,CUST0074,Spain
INV220768,SC63088,METAL KEYCHAIN,14,2023-05-29,0.5,CUST0074,Spain
INV972442,SC57428,VINTAGE LAMP,20,2023-08-24,3.75,CUST0075,United Kingdom
INV355135,SC67104,BLUE CERAMIC MUG,14,2023-02-24,1.25,CUST0075,United Kingdom
INV182467,SC61873,BAMBOO CUTTING BOARD,13,2023-09-26,1.75,CUST0075,United Kingdom
INV332335,SC53655,CERAMIC PLANT POT,10,2023-06-23,2.0,CUST0075,United Kingdom
INV635280,SC92998,PAPER NOTEBOOK,6,2023-02-09,0.85,CUST0075,United Kingdom
INV303322,SC55793,BLUE CERAMIC MUG,17,2023-09-19,1.25,CUST0075,United Kingdom
INV368402,SC35856,COTTON TOTE BAG,4,2023-03-16,1.0,CUST0076,USA
INV897143,SC95918,VINTAGE LAMP,20,2023-03-20,3.75,CUST0076,USA
INV618119,SC70811,BLUE CERAMIC MUG,6,2023-11-18,1.25,CUST0076,USA
INV766158,SC91857,ENAMEL PIN SET,19,2023-11-26,0.75,CUST0077,Japan
INV561124,SC18950,GLASS VASE,11,2023-03-19,1.5,CUST0077,Japan
INV417530,SC46002,LEATHER WALLET,15,2023-11-20,5.0,CUST0077,Japan
INV631981,SC19724,BAMBOO CUTTING BOARD,2,2023-06-30,1.75,CUST0077,Japan
INV139434,SC17456,WOODEN PHOTO FRAME,15,2023-08-20,2.0,CUST0077,Japan
INV775981,SC21835,GLASS VASE,10,2023-02-09,1.5,CUST0077,Japan
INV503159,SC70648,BAMBOO CUTTING BOARD,20,2023-09-17,1.75,CUST0077,Japan
INV571579,SC84928,BAMBOO CUTTING BOARD,18,2023-01-22,1.75,CUST0077,Japan
INV258189,SC18109,BAMBOO CUTTING BOARD,16,2023-09-14,1.75,CUST0078,India
INV849014,SC21053,LEATHER WALLET,4,2023-06-25,5.0,CUST0078,India
INV359778,SC67377,SILK CUSHION,6,2023-01-21,2.25,CUST0078,India
INV739427,SC30807,LEATHER WALLET,17,2023-09-25,5.0,CUST0078,India
INV506235,SC63578,GLASS VASE,12,2023-05-25,1.5,CUST0078,India
INV726928,SC16863,PAPER NOTEBOOK,11,2023-12-14,0.85,CUST0078,India
INV811332,SC60667,GLASS VASE,4,2023-10-13,1.5,CUST0079,USA
INV731977,SC29709,WOODEN PHOTO FRAME,9,2023-12-03,2.0,CUST0079,USA
INV425301,SC95990,BAMBOO CUTTING BOARD,5,2023-06-29,1.75,CUST0080,USA
INV723945,SC21104,WICKER BASKET,13,2023-03-08,3.0,CUST0080,USA
INV802667,SC99838,ENAMEL PIN SET,11,2023-03-07,0.75,CUST0081,Australia
INV777406,SC97878,KNITTED BLANKET,17,2023-02-17,4.5,CUST0081,Australia
INV119116,SC57526,METAL KEYCHAIN,17,2023-07-05,0.5,CUST0081,Australia
INV458332,SC73736,WOODEN PHOTO FRAME,6,2023-04-20,2.0,CUST0081,Australia
INV262471,SC20114,COTTON TOTE BAG,8,2023-03-12,1.0,CUST0081,Australia
INV908320,SC80748,WOODEN PHOTO FRAME,4,2023-09-17,2.0,CUST0081,Australia
INV794083,SC54140,CERAMIC PLANT POT,17,2023-01-20,2.0,CUST0081,Australia
INV270128,SC33703,BAMBOO CUTTING BOARD,13,2023-03-20,1.75,CUST0082,Japan
INV856215,SC67366,CERAMIC PLANT POT,20,2023-03-26,2.0,CUST0082,Japan
INV809217,SC41133,RED WOOL SCARF,14,2023-07-06,2.5,CUST0082,Japan
INV659951,SC41348,PAPER NOTEBOOK,15,2023-04-30,0.85,CUST0083,Spain
INV485709,SC98907,WOODEN PHOTO FRAME,16,2023-04-10,2.0,CUST0083,Spain
INV906814,SC46932,BAMBOO CUTTING BOARD,15,2023-08-25,1.75,CUST0083,Spain
INV653081,SC64874,PAPER NOTEBOOK,13,2023-09-15,0.85,CUST0083,Spain
INV245121,SC42768,VINTAGE LAMP,7,2023-11-06,3.75,CUST0083,Spain
INV207573,SC77621,CERAMIC PLANT POT,12,2023-10-11,2.0,CUST0084,United Kingdom
INV187949,SC31012,CERAMIC PLANT POT,4,2023-05-26,2.0,CUST0084,United Kingdom
INV254506,SC67340,WOODEN PHOTO FRAME,15,2023-09-20,2.0,CUST0084,United Kingdom
INV466566,SC13495,BLUE CERAMIC MUG,8,2023-08-19,1.25,CUST0084,United Kingdom
INV626392,SC59015,METAL KEYCHAIN,2,2023-07-22,0.5,CUST0084,United Kingdom
INV493124,SC39430,COTTON TOTE BAG,13,2023-02-11,1.0,CUST0084,United Kingdom
INV979940,SC95191,RED WOOL SCARF,11,2023-02-20,2.5,CUST0084,United Kingdom
INV140163,SC47601,GLASS VASE,5,2023-03-12,1.5,CUST0084,United Kingdom
INV745239,SC10688,PAPER NOTEBOOK,16,2023-08-18,0.85,CUST0085,Spain
INV368355,SC38266,KNITTED BLANKET,3,2023-01-10,4.5,CUST0085,Spain
INV862560,SC89807,CERAMIC PLANT POT,5,2023-10-08,2.0,CUST0085,Spain
INV415779,SC25970,BLUE CERAMIC MUG,10,2023-05-02,1.25,CUST0086,Italy
INV769989,SC91633,RED WOOL SCARF,8,2023-08-03,2.5,CUST0086,Italy
INV977330,SC75513,LEATHER WALLET,3,2023-02-26,5.0,CUST0086,Italy
INV762652,SC77551,BAMBOO CUTTING BOARD,18,2023-01-09,1.75,CUST0086,Italy
INV405420,SC66261,BAMBOO CUTTING BOARD,8,2023-03-15,1.75,CUST0086,Italy
INV352249,SC84798,RED WOOL SCARF,20,2023-06-30,2.5,CUST0086,Italy
INV800674,SC21221,METAL KEYCHAIN,6,2023-12-07,0.5,CUST0086,Italy
INV631971,SC76535,BLUE CERAMIC MUG,17,2023-10-06,1.25,CUST0087,Italy
INV592972,SC15706,SILK CUSHION,1,2023-07-19,2.25,CUST0087,Italy
INV365971,SC12128,ENAMEL PIN SET,13,2023-07-11,0.75,CUST0087,Italy
INV352838,SC96127,GLASS VASE,3,2023-06-26,1.5,CUST0087,Italy
INV870899,SC53583,ENAMEL PIN SET,4,2023-10-25,0.75,CUST0087,Italy
INV672536,SC54374,VINTAGE LAMP,2,2023-06-30,3.75,CUST0087,Italy
INV291132,SC27675,WICKER BASKET,16,2023-11-20,3.0,CUST0088,France
INV407696,SC36422,BLUE CERAMIC MUG,15,2023-01-19,1.25,CUST0088,France
INV430926,SC50642,RED WOOL SCARF,7,2023-01-22,2.5,CUST0088,France
INV596395,SC43202,SILK CUSHION,13,2023-10-06,2.25,CUST0088,France
INV474314,SC16265,RED WOOL SCARF,7,2023-05-27,2.5,CUST0088,France
INV230521,SC58237,CERAMIC PLANT POT,11,2023-05-20,2.0,CUST0088,France
INV505426,SC54438,METAL KEYCHAIN,13,2023-08-14,0.5,CUST0088,France
INV621691,SC58148,VINTAGE LAMP,16,2023-12-21,3.75,CUST0088,France
INV182760,SC66440,PAPER NOTEBOOK,3,2023-08-06,0.85,CUST0089,Italy
INV408036,SC52101,BAMBOO CUTTING BOARD,6,2023-10-07,1.75,CUST0089,Italy
INV793024,SC48750,BLUE CERAMIC MUG,3,2023-06-17,1.25,CUST0089,Italy
INV852524,SC65851,WOODEN PHOTO FRAME,15,2023-11-05,2.0,CUST0089,Italy
INV568849,SC15551,VINTAGE LAMP,15,2023-06-29,3.75,CUST0089,Italy
INV803787,SC93560,WOODEN PHOTO FRAME,2,2023-02-08,2.0,CUST0090,USA
INV940010,SC99051,METAL KEYCHAIN,12,2023-09-20,0.5,CUST0090,USA
INV989894,SC89635,VINTAGE LAMP,1,2023-03-15,3.75,CUST0090,USA
INV232361,SC18812,ENAMEL PIN SET,15,2023-01-18,0.75,CUST0090,USA
INV501451,SC84349,COTTON TOTE BAG,12,2023-07-05,1.0,CUST0090,USA
INV812048,SC68972,RED WOOL SCARF,20,2023-03-20,2.5,CUST0090,USA
INV900152,SC20077,GLASS VASE,12,2023-08-16,1.5,CUST0090,USA
INV429657,SC95139,SILK CUSHION,12,2023-07-23,2.25,CUST0091,Japan
INV127172,SC34385,WOODEN PHOTO FRAME,8,2023-02-28,2.0,CUST0091,Japan
INV688956,SC25435,LEATHER WALLET,17,2023-07-18,5.0,CUST0091,Japan
INV741599,SC47431,WICKER BASKET,15,2023-04-20,3.0,CUST0092,Australia
INV228594,SC27790,WICKER BASKET,16,2023-04-13,3.0,CUST0092,Australia
INV281043,SC68341,CERAMIC PLANT POT,3,2023-08-20,2.0,CUST0092,Australia
INV464301,SC18511,BLUE CERAMIC MUG,11,2023-12-08,1.25,CUST0092,Australia
INV414527,SC30644,SILK CUSHION,18,2023-05-29,2.25,CUST0092,Australia
INV310743,SC28202,SILK CUSHION,8,2023-03-04,2.25,CUST0093,France
INV478427,SC82616,COTTON TOTE BAG,16,2023-01-14,1.0,CUST0093,France
INV942700,SC82305,BAMBOO CUTTING BOARD,12,2023-08-28,1.75,CUST0093,France
INV168941,SC50539,VINTAGE LAMP,20,2023-02-14,3.75,CUST0093,France
INV530749,SC63665,METAL KEYCHAIN,16,2023-09-27,0.5,CUST0093,France
INV231414,SC51553,CERAMIC PLANT POT,19,2023-02-07,2.0,CUST0093,France
INV234568,SC82260,LEATHER WALLET,17,2023-06-26,5.0,CUST0094,Germany
INV905077,SC26912,ENAMEL PIN SET,19,2023-04-04,0.75,CUST0094,Germany
INV971776,SC26274,METAL KEYCHAIN,17,2023-01-29,0.5,CUST0094,Germany
INV272655,SC31229,SILK CUSHION,5,2023-06-05,2.25,CUST0094,Germany
INV644103,SC47230,GLASS VASE,8,2023-06-27,1.5,CUST0094,Germany
INV305837,SC93238,CERAMIC PLANT POT,3,2023-05-09,2.0,CUST0094,Germany
INV755383,SC49691,SILK CUSHION,9,2023-03-06,2.25,CUST0094,Germany
INV626986,SC94015,BAMBOO CUTTING BOARD,18,2023-02-17,1.75,CUST0094,Germany
INV454019,SC83874,VINTAGE LAMP,20,2023-11-06,3.75,CUST0095,France
INV147670,SC94076,RED WOOL SCARF,1,2023-02-11,2.5,CUST0095,France
INV782759,SC37631,PAPER NOTEBOOK,19,2023-05-16,0.85,CUST0095,France
INV757629,SC81509,BAMBOO CUTTING BOARD,1,2023-09-12,1.75,CUST0096,Japan
INV356773,SC99783,WOODEN PHOTO FRAME,10,2023-09-05,2.0,CUST0096,Japan
INV176517,SC17852,METAL KEYCHAIN,10,2023-08-21,0.5,CUST0096,Japan
INV607774,SC70875,VINTAGE LAMP,15,2023-08-01,3.75,CUST0096,Japan
INV250647,SC50970,COTTON TOTE BAG,11,2023-11-07,1.0,CUST0096,Japan
INV518084,SC27139,CERAMIC PLANT POT,11,2023-06-26,2.0,CUST0096,Japan
INV688933,SC23917,PAPER NOTEBOOK,12,2023-09-21,0.85,CUST0096,Japan
INV571435,SC42495,LEATHER WALLET,4,2023-05-17,5.0,CUST0097,USA
INV404309,SC60351,VINTAGE LAMP,4,2023-01-26,3.75,CUST0097,USA
INV360330,SC30932,CERAMIC PLANT POT,20,2023-08-03,2.0,CUST0097,USA
INV856157,SC50988,CERAMIC PLANT POT,11,2023-10-23,2.0,CUST0097,USA
INV622987,SC50441,LEATHER WALLET,17,2023-08-28,5.0,CUST0098,India
INV512344,SC76249,LEATHER WALLET,1,2023-02-16,5.0,CUST0098,India
INV711680,SC56254,LEATHER WALLET,8,2023-04-21,5.0,CUST0098,India
INV983791,SC95755,WOODEN PHOTO FRAME,16,2023-11-02,2.0,CUST0099,United Kingdom
INV551860,SC27555,SILK CUSHION,1,2023-02-25,2.25,CUST0100,Spain
INV900961,SC62855,KNITTED BLANKET,9,2023-07-07,4.5,CUST0100,Spain
INV153642,SC84747,GLASS VASE,2,2023-07-25,1.5,CUST0100,Spain
INV680096,SC47827,SILK CUSHION,7,2023-07-05,2.25,CUST0100,Spain
INV572230,SC82070,BLUE CERAMIC MUG,13,2023-09-16,1.25,CUST0100,Spain
INV491326,SC54444,VINTAGE LAMP,4,2023-07-21,3.75,CUST0101,Australia
INV308727,SC88966,SILK CUSHION,12,2023-03-15,2.25,CUST0101,Australia
INV140804,SC27961,SILK CUSHION,2,2023-01-24,2.25,CUST0102,Italy
INV644559,SC69898,WICKER BASKET,11,2023-08-31,3.0,CUST0102,Italy
INV246570,SC52987,VINTAGE LAMP,20,2023-09-21,3.75,CUST0102,Italy
INV270395,SC61505,KNITTED BLANKET,20,2023-06-13,4.5,CUST0102,Italy
INV452713,SC76494,BAMBOO CUTTING BOARD,10,2023-10-31,1.75,CUST0102,Italy
INV613641,SC83783,CERAMIC PLANT POT,17,2023-09-30,2.0,CUST0102,Italy
INV486251,SC53416,WOODEN PHOTO FRAME,16,2023-01-09,2.0,CUST0102,Italy
INV759827,SC13492,BAMBOO CUTTING BOARD,10,2023-12-19,1.75,CUST0103,Germany
INV787436,SC85821,BAMBOO CUTTING BOARD,16,2023-05-16,1.75,CUST0103,Germany
INV711868,SC72973,BAMBOO CUTTING BOARD,8,2023-01-27,1.75,CUST0103,Germany
INV856215,SC91230,VINTAGE LAMP,17,2023-11-19,3.75,CUST0103,Germany
INV961574,SC99224,PAPER NOTEBOOK,13,2023-03-17,0.85,CUST0103,Germany
INV834549,SC24404,COTTON TOTE BAG,2,2023-10-21,1.0,CUST0103,Germany
INV428930,SC64890,COTTON TOTE BAG,1,2023-08-14,1.0,CUST0103,Germany
INV626195,SC90147,WICKER BASKET,7,2023-07-30,3.0,CUST0104,France
INV840058,SC28098,KNITTED BLANKET,16,2023-02-01,4.5,CUST0104,France
INV440839,SC96799,SILK CUSHION,7,2023-10-15,2.25,CUST0104,France
INV428993,SC32699,LEATHER WALLET,17,2023-07-12,5.0,CUST0104,France
INV672808,SC56437,LEATHER WALLET,18,2023-06-25,5.0,CUST0104,France
INV607699,SC35200,ENAMEL PIN SET,9,2023-11-09,0.75,CUST0104,France
INV412999,SC39473,COTTON TOTE BAG,9,2023-10-13,1.0,CUST0104,France
INV839233,SC74094,WICKER BASKET,7,2023-12-20,3.0,CUST0105,Australia
INV687713,SC45842,GLASS VASE,16,2023-06-28,1.5,CUST0105,Australia
INV809489,SC81197,WOODEN PHOTO FRAME,4,2023-10-21,2.0,CUST0105,Australia
INV910616,SC29198,METAL KEYCHAIN,13,2023-06-26,0.5,CUST0105,Australia
INV848831,SC20358,WOODEN PHOTO FRAME,2,2023-05-28,2.0,CUST0105,Australia
INV324381,SC36485,ENAMEL PIN SET,9,2023-09-03,0.75,CUST0106,USA
INV689318,SC45601,CERAMIC PLANT POT,18,2023-05-19,2.0,CUST0106,USA
INV876880,SC86917,VINTAGE LAMP,4,2023-11-12,3.75,CUST0106,USA
INV802371,SC79604,COTTON TOTE BAG,8,2023-01-26,1.0,CUST0106,USA
INV205065,SC64172,COTTON TOTE BAG,8,2023-01-27,1.0,CUST0106,USA
INV814281,SC28018,GLASS VASE,16,2023-02-21,1.5,CUST0106,USA
INV526673,SC95575,RED WOOL SCARF,18,2023-03-22,2.5,CUST0106,USA
INV782139,SC36143,KNITTED BLANKET,16,2023-09-02,4.5,CUST0106,USA
INV783984,SC85252,WOODEN PHOTO FRAME,2,2023-02-15,2.0,CUST0107,Australia
INV283568,SC64773,COTTON TOTE BAG,18,2023-01-20,1.0,CUST0107,Australia
INV976822,SC62034,KNITTED BLANKET,6,2023-01-19,4.5,CUST0107,Australia
INV885386,SC47941,PAPER NOTEBOOK,16,2023-04-06,0.85,CUST0107,Australia
INV412886,SC84443,KNITTED BLANKET,2,2023-01-05,4.5,CUST0107,Australia
INV398384,SC69552,BAMBOO CUTTING BOARD,4,2023-06-21,1.75,CUST0107,Australia
INV590755,SC45761,KNITTED BLANKET,5,2023-09-16,4.5,CUST0108,Italy
INV270387,SC70150,COTTON TOTE BAG,4,2023-06-19,1.0,CUST0108,Italy
INV114768,SC54185,ENAMEL PIN SET,9,2023-04-06,0.75,CUST0108,Italy
INV807160,SC35318,PAPER NOTEBOOK,10,2023-10-18,0.85,CUST0108,Italy
INV525187,SC66059,VINTAGE LAMP,20,2023-11-24,3.75,CUST0108,Italy
INV520304,SC97720,SILK CUSHION,11,2023-02-14,2.25,CUST0108,Italy
INV600646,SC52415,BLUE CERAMIC MUG,6,2023-03-13,1.25,CUST0108,Italy
INV373453,SC60275,KNITTED BLANKET,8,2023-01-04,4.5,CUST0108,Italy
INV416613,SC86344,PAPER NOTEBOOK,9,2023-06-18,0.85,CUST0109,India
INV374258,SC95679,WICKER BASKET,19,2023-01-06,3.0,CUST0109,India
INV800224,SC25495,GLASS VASE,8,2023-02-01,1.5,CUST0109,India
INV525110,SC99925,LEATHER WALLET,10,2023-03-23,5.0,CUST0109,India
INV223119,SC93717,SILK CUSHION,10,2023-12-20,2.25,CUST0109,India
INV744481,SC38947,KNITTED BLANKET,10,2023-07-08,4.5,CUST0109,India
INV260626,SC69634,COTTON TOTE BAG,5,2023-09-02,1.0,CUST0109,India
INV536045,SC81989,WICKER BASKET,20,2023-07-11,3.0,CUST0109,India
INV891401,SC88094,PAPER NOTEBOOK,8,2023-12-15,0.85,CUST0110,Spain
INV568449,SC79228,CERAMIC PLANT POT,3,2023-09-27,2.0,CUST0110,Spain
INV691573,SC24707,WICKER BASKET,12,2023-02-09,3.0,CUST0110,Spain
INV311976,SC85065,RED WOOL SCARF,18,2023-09-16,2.5,CUST0110,Spain
INV563303,SC25235,VINTAGE LAMP,11,2023-09-24,3.75,CUST0111,Italy
INV612573,SC21919,ENAMEL PIN SET,7,2023-10-26,0.75,CUST0111,Italy
INV947975,SC17292,KNITTED BLANKET,17,2023-08-17,4.5,CUST0111,Italy
INV691303,SC17567,SILK CUSHION,14,2023-08-22,2.25,CUST0112,Spain
INV946112,SC50392,SILK CUSHION,15,2023-12-11,2.25,CUST0112,Spain
INV366817,SC10395,WICKER BASKET,1,2023-07-22,3.0,CUST0112,Spain
INV834406,SC18357,RED WOOL SCARF,14,2023-06-26,2.5,CUST0113,India
INV595002,SC14159,SILK CUSHION,2,2023-02-05,2.25,CUST0113,India
INV864715,SC94656,VINTAGE LAMP,5,2023-11-25,3.75,CUST0114,Australia
INV570325,SC59479,METAL KEYCHAIN,12,2023-07-15,0.5,CUST0114,Australia
INV793939,SC80687,METAL KEYCHAIN,3,2023-12-16,0.5,CUST0114,Australia
INV287143,SC80419,VINTAGE LAMP,12,2023-03-02,3.75,CUST0114,Australia
INV863214,SC39188,METAL KEYCHAIN,17,2023-03-07,0.5,CUST0114,Australia
INV412856,SC70686,CERAMIC PLANT POT,1,2023-01-12,2.0,CUST0114,Australia
INV657772,SC59712,ENAMEL PIN SET,18,2023-08-06,0.75,CUST0114,Australia
INV389039,SC34704,LEATHER WALLET,12,2023-03-21,5.0,CUST0115,India
INV948799,SC96533,KNITTED BLANKET,4,2023-01-17,4.5,CUST0115,India
INV352356,SC37011,METAL KEYCHAIN,20,2023-01-09,0.5,CUST0115,India
INV135207,SC68515,BLUE CERAMIC MUG,4,2023-11-01,1.25,CUST0115,India
INV560285,SC40715,COTTON TOTE BAG,2,2023-07-25,1.0,CUST0116,Japan
INV628373,SC47914,PAPER NOTEBOOK,2,2023-03-13,0.85,CUST0117,Italy
INV705526,SC88370,COTTON TOTE BAG,19,2023-06-13,1.0,CUST0117,Italy
INV416422,SC28777,PAPER NOTEBOOK,11,2023-05-02,0.85,CUST0117,Italy
INV533649,SC49387,ENAMEL PIN SET,17,2023-04-24,0.75,CUST0117,Italy
INV756401,SC98965,SILK CUSHION,19,2023-03-31,2.25,CUST0118,Australia
INV803953,SC59958,RED WOOL SCARF,12,2023-11-26,2.5,CUST0119,Canada
INV830132,SC64568,PAPER NOTEBOOK,17,2023-06-13,0.85,CUST0119,Canada
INV494747,SC34101,METAL KEYCHAIN,5,2023-06-03,0.5,CUST0119,Canada
INV352673,SC39536,PAPER NOTEBOOK,18,2023-08-31,0.85,CUST0119,Canada
INV160423,SC83713,WOODEN PHOTO FRAME,5,2023-08-26,2.0,CUST0119,Canada
INV655736,SC27575,METAL KEYCHAIN,14,2023-10-13,0.5,CUST0119,Canada
INV313214,SC53288,METAL KEYCHAIN,8,2023-05-11,0.5,CUST0119,Canada
INV988283,SC58637,ENAMEL PIN SET,3,2023-08-19,0.75,CUST0119,Canada
INV806396,SC89294,RED WOOL SCARF,9,2023-07-13,2.5,CUST0120,Germany
INV297303,SC87015,BAMBOO CUTTING BOARD,2,2023-02-07,1.75,CUST0120,Germany
INV602681,SC37379,WICKER BASKET,18,2023-04-22,3.0,CUST0120,Germany
INV116078,SC37762,CERAMIC PLANT POT,11,2023-06-05,2.0,CUST0120,Germany
INV829417,SC89220,WICKER BASKET,16,2023-05-05,3.0,CUST0121,India
INV350956,SC82362,WICKER BASKET,7,2023-07-23,3.0,CUST0121,India
INV780233,SC57088,METAL KEYCHAIN,15,2023-10-01,0.5,CUST0122,USA
INV637727,SC75179,WOODEN PHOTO FRAME,9,2023-07-04,2.0,CUST0122,USA
INV898625,SC51973,LEATHER WALLET,4,2023-08-29,5.0,CUST0122,USA
INV428122,SC64254,KNITTED BLANKET,7,2023-07-09,4.5,CUST0122,USA
INV877259,SC29126,RED WOOL SCARF,19,2023-04-24,2.5,CUST0122,USA
INV854987,SC64732,SILK CUSHION,19,2023-10-24,2.25,CUST0123,United Kingdom
INV445888,SC40149,WOODEN PHOTO FRAME,5,2023-04-11,2.0,CUST0123,United Kingdom
INV623555,SC82173,METAL KEYCHAIN,19,2023-05-06,0.5,CUST0123,United Kingdom
INV900441,SC74044,ENAMEL PIN SET,11,2023-05-12,0.75,CUST0123,United Kingdom
INV276405,SC56160,WICKER BASKET,16,2023-08-24,3.0,CUST0123,United Kingdom
INV292988,SC81058,WICKER BASKET,18,2023-09-08,3.0,CUST0124,France
INV135466,SC19742,ENAMEL PIN SET,2,2023-09-26,0.75,CUST0124,France
INV532424,SC28021,CERAMIC PLANT POT,2,2023-01-04,2.0,CUST0124,France
INV329344,SC76287,WICKER BASKET,5,2023-01-05,3.0,CUST0125,India
INV747847,SC93588,LEATHER WALLET,12,2023-01-31,5.0,CUST0125,India
INV106933,SC79758,ENAMEL PIN SET,16,2023-01-09,0.75,CUST0126,Japan
INV117538,SC79391,SILK CUSHION,14,2023-01-07,2.25,CUST0126,Japan
INV400614,SC12246,WICKER BASKET,9,2023-10-02,3.0,CUST0126,Japan
INV212214,SC22624,SILK CUSHION,14,2023-04-02,2.25,CUST0126,Japan
INV301255,SC91235,SILK CUSHION,5,2023-05-04,2.25,CUST0126,Japan
INV380310,SC62022,SILK CUSHION,9,2023-07-01,2.25,CUST0126,Japan
INV581294,SC84055,BLUE CERAMIC MUG,12,2023-07-27,1.25,CUST0126,Japan
INV817269,SC20566,COTTON TOTE BAG,8,2023-06-03,1.0,CUST0126,Japan
INV679549,SC72390,METAL KEYCHAIN,13,2023-07-13,0.5,CUST0127,United Kingdom
INV279708,SC20837,RED WOOL SCARF,1,2023-12-26,2.5,CUST0127,United Kingdom
INV999636,SC22499,ENAMEL PIN SET,11,2023-10-17,0.75,CUST0128,Spain
INV340927,SC37710,KNITTED BLANKET,17,2023-01-22,4.5,CUST0128,Spain
INV384263,SC16102,KNITTED BLANKET,19,2023-09-01,4.5,CUST0128,Spain
INV393992,SC81176,KNITTED BLANKET,3,2023-12-17,4.5,CUST0128,Spain
INV991737,SC51220,BAMBOO CUTTING BOARD,2,2023-04-02,1.75,CUST0128,Spain
INV251195,SC62205,RED WOOL SCARF,7,2023-10-28,2.5,CUST0128,Spain
INV270341,SC83919,KNITTED BLANKET,3,2023-06-03,4.5,CUST0128,Spain
INV502491,SC28343,ENAMEL PIN SET,18,2023-06-19,0.75,CUST0129,India
INV881667,SC55332,PAPER NOTEBOOK,3,2023-09-14,0.85,CUST0129,India
INV343420,SC19963,RED WOOL SCARF,4,2023-08-12,2.5,CUST0129,India
INV724540,SC61996,GLASS VASE,20,2023-11-11,1.5,CUST0129,India
INV764926,SC45825,PAPER NOTEBOOK,11,2023-01-16,0.85,CUST0129,India
INV339220,SC56636,PAPER NOTEBOOK,15,2023-09-09,0.85,CUST0129,India
INV294760,SC99088,SILK CUSHION,13,2023-08-10,2.25,CUST0129,India
INV936821,SC42302,BLUE CERAMIC MUG,20,2023-06-01,1.25,CUST0130,Japan
INV380989,SC30214,WICKER BASKET,3,2023-02-12,3.0,CUST0130,Japan
INV432061,SC57277,METAL KEYCHAIN,5,2023-07-19,0.5,CUST0130,Japan
INV423241,SC68292,BLUE CERAMIC MUG,3,2023-01-03,1.25,CUST0130,Japan
INV238943,SC21442,GLASS VASE,9,2023-02-22,1.5,CUST0130,Japan
INV684041,SC82710,VINTAGE LAMP,14,2023-08-18,3.75,CUST0130,Japan
INV127537,SC21746,SILK CUSHION,14,2023-02-22,2.25,CUST0130,Japan
INV503951,SC11617,BAMBOO CUTTING BOARD,20,2023-06-16,1.75,CUST0131,USA
INV917018,SC21101,WOODEN PHOTO FRAME,14,2023-07-18,2.0,CUST0131,USA
INV818605,SC59903,BAMBOO CUTTING BOARD,17,2023-03-28,1.75,CUST0132,Italy
INV415759,SC45180,VINTAGE LAMP,5,2023-05-18,3.75,CUST0132,Italy
INV275329,SC66973,LEATHER WALLET,5,2023-02-02,5.0,CUST0132,Italy
INV607753,SC20082,WOODEN PHOTO FRAME,14,2023-06-03,2.0,CUST0132,Italy
INV746624,SC35630,COTTON TOTE BAG,16,2023-11-01,1.0,CUST0133,USA
INV419457,SC10887,LEATHER WALLET,4,2023-03-11,5.0,CUST0133,USA
INV498343,SC53193,METAL KEYCHAIN,11,2023-11-14,0.5,CUST0133,USA
INV955088,SC95332,LEATHER WALLET,11,2023-08-09,5.0,CUST0133,USA
INV436241,SC89064,BAMBOO CUTTING BOARD,5,2023-06-03,1.75,CUST0133,USA
INV434640,SC48200,GLASS VASE,6,2023-07-23,1.5,CUST0134,India
INV919959,SC41775,WICKER BASKET,16,2023-10-22,3.0,CUST0134,India
INV956156,SC61502,GLASS VASE,13,2023-05-24,1.5,CUST0134,India
INV309505,SC87624,GLASS VASE,4,2023-10-16,1.5,CUST0134,India
INV904905,SC82102,SILK CUSHION,6,2023-12-16,2.25,CUST0134,India
INV319832,SC67469,RED WOOL SCARF,15,2023-12-29,2.5,CUST0134,India
INV172518,SC63627,PAPER NOTEBOOK,10,2023-12-21,0.85,CUST0134,India
INV764100,SC49692,ENAMEL PIN SET,16,2023-03-13,0.75,CUST0134,India
INV927406,SC59412,ENAMEL PIN SET,5,2023-08-05,0.75,CUST0135,India
INV602514,SC86315,BLUE CERAMIC MUG,15,2023-11-03,1.25,CUST0135,India
INV825309,SC64827,METAL KEYCHAIN,18,2023-09-17,0.5,CUST0135,India
INV835716,SC80373,SILK CUSHION,2,2023-07-04,2.25,CUST0135,India
INV906306,SC42536,BAMBOO CUTTING BOARD,3,2023-02-25,1.75,CUST0135,India
INV690579,SC94545,ENAMEL PIN SET,20,2023-01-23,0.75,CUST0136,USA
INV934908,SC66420,ENAMEL PIN SET,13,2023-06-19,0.75,CUST0136,USA
